,0
0,0.06824384427756985
1,0.0940343794386601
2,0.13324779702267273
3,0.07697201737463577
4,0.06458576907794476
5,0.059870055181591865
6,0.06660807244936305
7,0.020339360025782006
8,-0.05205233302051643
9,-0.0420637764477601
10,-0.031733829096087865
11,-0.02226323654250373
12,-0.02536097102627154
13,-0.028483984520511315
14,-0.03432033046512512
15,-0.01972793525326339
16,0.0422028074906203
17,0.12521813658522046
18,-0.019974685007508482
19,-0.005918566949233051
20,0.010659197824070831
21,-0.0027575596435075755
22,-0.01015462420071312
23,-0.016813838403338808
24,-0.003412108762763299
25,0.03865832935674557
26,0.09548854019229153
27,0.03690640604322569
28,0.018842022235238915
29,0.01856816717296881
30,0.004275096592289088
31,0.00672277809797403
32,0.009331300527279393
33,-0.02862670055488429
34,0.23157496584997653
35,0.5772811407480446
36,-0.06822374013752168
37,-0.03407935679443331
38,-0.054697679819254476
39,-0.02312750287783272
40,-0.011868688269093078
41,0.0075023821349349575
42,0.05561418278735486
43,0.1537474057651693
44,0.2690724430137616
